CIS_OBEC,CIS_OKRSEK,PORADI_ZPRAC,DATUM_CAS_ZPRAC,OPAKOVANE,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,KANDIDAT_7,KANDIDAT_9
541281,5,2,2018-01-27T14:16:05,0,123,54,54,54,38,16
549584,2,3,2018-01-27T14:16:15,0,79,58,58,58,24,34
547701,1,4,2018-01-27T14:16:19,0,68,47,47,47,19,28
587206,1,5,2018-01-27T14:16:31,0,66,47,47,47,24,23
573060,5,6,2018-01-27T14:16:33,0,123,77,77,77,46,31
575500,8,7,2018-01-27T14:16:37,0,64,40,40,40,29,11
563960,3,8,2018-01-27T14:16:37,0,82,45,45,45,23,22
597678,6,9,2018-01-27T14:16:38,0,35,30,30,30,25,5
572667,1,10,2018-01-27T14:16:48,0,171,125,125,125,74,51
572241,11,11,2018-01-27T14:17:00,0,44,35,35,35,32,3
560448,1,12,2018-01-27T14:17:18,0,150,114,114,114,60,54
580783,1,13,2018-01-27T14:17:21,0,61,43,43,43,27,16
577731,18,14,2018-01-27T14:17:23,0,585,58,58,58,26,32
587214,1,15,2018-01-27T14:17:30,0,56,44,44,44,10,34
554294,4,16,2018-01-27T14:17:38,0,67,55,55,55,32,23
548383,2,17,2018-01-27T14:17:41,0,51,37,37,37,20,17
559806,3,18,2018-01-27T14:17:43,0,34,32,32,32,18,14
578312,1,19,2018-01-27T14:17:47,0,92,70,70,70,45,25
532878,1,20,2018-01-27T14:17:54,0,44,31,31,31,16,15
533271,7,21,2018-01-27T14:17:59,0,75,48,48,48,25,23
553573,1,22,2018-01-27T14:18:00,0,153,72,72,72,44,28
597783,9,23,2018-01-27T14:18:03,0,110,68,68,68,49,19
569208,1,24,2018-01-27T14:18:09,0,143,99,99,99,45,54
556254,7,25,2018-01-27T14:18:16,0,78,49,49,48,36,12
545911,8039,26,2018-01-27T14:18:19,0,107,39,39,39,22,17
549118,1,27,2018-01-27T14:18:20,0,40,34,34,34,17,17
555380,10,28,2018-01-27T14:18:29,0,103,53,53,53,34,19
568414,7,29,2018-01-27T14:18:30,0,194,140,140,140,82,58
541095,1,30,2018-01-27T14:18:31,0,102,82,82,82,53,29
561754,1,31,2018-01-27T14:18:33,0,45,33,33,32,13,19
541281,13,32,2018-01-27T14:18:34,0,57,37,37,37,15,22
587559,1,33,2018-01-27T14:18:45,0,107,70,70,70,33,37
586854,1,34,2018-01-27T14:18:48,0,134,106,106,106,73,33
537021,2,35,2018-01-27T14:18:49,0,48,31,31,31,19,12
577308,6,36,2018-01-27T14:18:53,0,63,37,37,37,21,16
566489,1,37,2018-01-27T14:19:00,0,60,39,39,39,23,16
586846,44,38,2018-01-27T14:19:05,0,93,64,64,64,36,28
580708,2,39,2018-01-27T14:19:05,0,68,61,61,60,24,36
550850,7,40,2018-01-27T14:19:07,0,63,47,47,47,23,24
533564,2,41,2018-01-27T14:19:11,0,131,79,79,79,57,22
541281,11,42,2018-01-27T14:19:27,0,114,87,87,87,33,54
563901,3,43,2018-01-27T14:19:30,0,187,154,154,153,79,74
587664,1,44,2018-01-27T14:19:31,0,121,99,99,99,74,25
556319,3,45,2018-01-27T14:19:32,0,68,48,48,48,29,19
597678,4,46,2018-01-27T14:19:33,0,80,44,44,44,34,10
552224,1,47,2018-01-27T14:19:33,0,95,66,66,66,50,16
537365,1,48,2018-01-27T14:19:38,0,45,30,30,30,23,7
548910,1,49,2018-01-27T14:19:40,0,67,51,51,51,26,25
538094,14,50,2018-01-27T14:19:41,0,69,51,51,51,34,17
578347,16,51,2018-01-27T14:19:44,0,92,62,62,62,31,31
544281,7,52,2018-01-27T14:19:44,0,65,46,46,46,26,20
548537,1,53,2018-01-27T14:19:48,0,40,34,34,34,12,22
599034,1,54,2018-01-27T14:19:49,0,73,49,49,49,26,23
